t1,t2,t3,t4
0.17777777777777778,0.20277777777777778,0.3,0.4666666666666667
0.030555555555555555,0.17222222222222222,0.2,0.48333333333333334
0.03888888888888889,0.17777777777777778,0.2,0.46111111111111114
0.027777777777777776,0.175,0.2,0.26944444444444443
0.025,0.17777777777777778,0.2,0.4527777777777778
0.06111111111111111,0.175,0.2,0.48055555555555557
0.025,0.175,0.2,0.2916666666666667
0.20277777777777778,0.225,0.4361111111111111,0.4861111111111111
0.027777777777777776,0.17777777777777778,0.20277777777777778,0.48333333333333334
0.03611111111111111,0.17777777777777778,0.2,0.26944444444444443
0.03333333333333333,0.17777777777777778,0.2,0.4527777777777778
0.03333333333333333,0.17777777777777778,0.2,0.46111111111111114
0.175,0.2,0.4222222222222222,0.4638888888888889
0.16944444444444445,0.2,0.46111111111111114,0.5777777777777777
0.019444444444444445,0.175,0.20277777777777778,0.4666666666666667
0.025,0.175,0.2,0.475
0.027777777777777776,0.175,0.2,0.4527777777777778
0.17777777777777778,0.2,0.2916666666666667,0.5638888888888889
0.05277777777777778,0.16666666666666666,0.20277777777777778,0.4722222222222222
0.027777777777777776,0.17777777777777778,0.2,0.4638888888888889
0.17222222222222222,0.2,0.33055555555555555,0.46944444444444444
0.175,0.20277777777777778,0.475,0.55
0.019444444444444445,0.175,0.2,0.4583333333333333
0.022222222222222223,0.17777777777777778,0.20277777777777778,0.4583333333333333
0.06388888888888888,0.1638888888888889,0.20277777777777778,0.25
0.025,0.17777777777777778,0.2,0.475
0.011111111111111112,0.175,0.2,0.4638888888888889
0.022222222222222223,0.16666666666666666,0.20277777777777778,0.46111111111111114
0.058333333333333334,0.175,0.2,0.48055555555555557
0.175,0.2,0.41944444444444445,0.49166666666666664
0.2,0.2222222222222222,0.33055555555555555,0.4583333333333333
0.06944444444444445,0.17222222222222222,0.2,0.2722222222222222
0.06388888888888888,0.17777777777777778,0.2,0.46111111111111114
0.025,0.175,0.2,0.4722222222222222
0.027777777777777776,0.17222222222222222,0.2,0.4888888888888889
0.05555555555555555,0.16944444444444445,0.20277777777777778,0.2722222222222222
0.016666666666666666,0.05555555555555555,0.17222222222222222,0.2
0.022222222222222223,0.17777777777777778,0.2,0.46944444444444444
0.027777777777777776,0.175,0.2,0.46111111111111114
0.030555555555555555,0.17222222222222222,0.20277777777777778,0.4444444444444444
0.17777777777777778,0.2,0.26666666666666666,0.5472222222222223
0.16666666666666666,0.20277777777777778,0.30833333333333335,0.45555555555555555
0.016666666666666666,0.17777777777777778,0.20277777777777778,0.46111111111111114
0.06111111111111111,0.17222222222222222,0.2,0.2722222222222222
0.16111111111111112,0.2,0.24722222222222223,0.4166666666666667
0.027777777777777776,0.17777777777777778,0.2,0.45555555555555555
